Occurrence_ID,Work_ID,Source_Commit,Source_Line,Source_Section,Source_Subsection,Title_As_Listed,Primary_URL_As_Listed,Strong_Identifier,Repository_Date,Venue_Label,Taxonomy_Branch,Feedback_Type,Feedback_Subtype,Feedback_Granularity,Feedback_Phase,Interaction_Types,Interaction_Variant,Orchestration_Strategy,Orchestration_Synchronization,Communication_Structure,Communication_Mode
ACL26-O-0001,ACL26-W-5BA841BD1C2A,7b3ba9deefe99172748582f6025d995ccc2a6f86,64,Latest Research Papers,,Just A Rather Very Intelligent Spoken Agent (JarvisBench),https://arxiv.org/abs/2607.16610,arxiv:2607.16610,2026-07-18,arXiv 2026,,,,,,,,,,,
ACL26-O-0002,ACL26-W-0683577E1E9C,7b3ba9deefe99172748582f6025d995ccc2a6f86,66,Latest Research Papers,,LLM Agents for Deliberative Collaboration: A Study on Joint Decision Making Under Partial Observability,https://arxiv.org/abs/2607.06157,arxiv:2607.06157,2026-07-07,arXiv 2026,,,,,,,,,,,
ACL26-O-0003,ACL26-W-6B3ADFD39E05,7b3ba9deefe99172748582f6025d995ccc2a6f86,68,Latest Research Papers,,HAS-Bench: Evaluating LLM-Based Human-Agent Systems under Configurable Human Participation,https://arxiv.org/abs/2607.04329,arxiv:2607.04329,2026-07-05,arXiv 2026,,,,,,,,,,,
ACL26-O-0004,ACL26-W-F7B93EF4142D,7b3ba9deefe99172748582f6025d995ccc2a6f86,70,Latest Research Papers,,Uncertainty Decomposition for Clarification Seeking in LLM Agents,https://arxiv.org/abs/2606.19559,arxiv:2606.19559,2026-06-17,arXiv 2026,,,,,,,,,,,
ACL26-O-0005,ACL26-W-B62CCF74D983,7b3ba9deefe99172748582f6025d995ccc2a6f86,72,Latest Research Papers,,Learning User Simulators with Turing Rewards,https://arxiv.org/abs/2606.19336,arxiv:2606.19336,2026-06-17,arXiv 2026,,,,,,,,,,,
ACL26-O-0006,ACL26-W-3B894E22ADAF,7b3ba9deefe99172748582f6025d995ccc2a6f86,74,Latest Research Papers,,Getting Better at Working With You: Compiling User Corrections into Runtime Enforcement for Coding Agents (TRACE),https://arxiv.org/abs/2606.13174,arxiv:2606.13174,2026-06-11,arXiv 2026,,,,,,,,,,,
ACL26-O-0007,ACL26-W-778E0EB83792,7b3ba9deefe99172748582f6025d995ccc2a6f86,76,Latest Research Papers,,PerspectiveGap: A Benchmark for Multi-Agent Orchestration Prompting,https://arxiv.org/abs/2606.08878,arxiv:2606.08878,2026-06-07,arXiv 2026,,,,,,,,,,,
ACL26-O-0008,ACL26-W-589CAE49FEF9,7b3ba9deefe99172748582f6025d995ccc2a6f86,78,Latest Research Papers,,Re-Centering Humans in LLM Personalization,https://arxiv.org/abs/2606.06614,arxiv:2606.06614,2026-06-04,arXiv 2026,,,,,,,,,,,
ACL26-O-0009,ACL26-W-3474AE13BD1A,7b3ba9deefe99172748582f6025d995ccc2a6f86,80,Latest Research Papers,,CollabBench: Benchmarking and Unleashing Collaborative Ability of LLMs with Diverse Players via Proactive Engagement,https://arxiv.org/abs/2606.05793,arxiv:2606.05793,2026-06-04,ICML 2026,,,,,,,,,,,
ACL26-O-0010,ACL26-W-3086638BE92A,7b3ba9deefe99172748582f6025d995ccc2a6f86,82,Latest Research Papers,,"Human Oversight of Agentic Systems in Practice: Examining the Oversight Work, Challenges, and Heuristics of Developers Using Software Agents",https://arxiv.org/abs/2606.05391,arxiv:2606.05391,2026-06-03,arXiv 2026,,,,,,,,,,,
